date,time,name,original_poster
2022-10-09,08:40,ezpappi,NA
2022-10-09,08:40,economy,NA
2022-10-09,08:40,captainscio,NA
2022-10-09,08:40,captainscio,NA
2022-10-09,08:40,papi,NA
2022-10-09,08:40,christine,joe
2022-10-09,08:40,captainscio,NA
2022-10-09,08:40,captainscio,NA
2022-10-09,08:40,peakdemocrat,joe
2022-10-09,08:40,jude,joe
2022-10-09,08:40,chloe,polly
2022-10-09,08:40,tartan,left
2022-10-09,08:40,zulal,emre
2022-10-09,08:40,dee,NA
2022-10-09,08:40,bogeys,NA
2022-10-09,08:40,titin,cris
2022-10-09,08:40,deborah,NA
2022-10-09,08:40,till,notfelineit
2022-10-09,08:40,david,NA
2022-10-09,08:40,wishfullthinking,NA
2022-10-09,08:40,michael,NA
2022-10-09,08:40,jake,NA
2022-10-09,08:40,pyotr,NA
2022-10-09,08:40,jablessnation,chosen
2022-10-09,08:40,yns,emre
2022-10-09,08:40,alisontsang,revd
2022-10-09,08:40,chris,machine
2022-10-09,08:40,sen,NA
2022-10-09,08:40,barbarossa,emre
2022-10-09,08:40,brad,NA
2022-10-09,08:40,fahad,NA
2022-10-09,08:40,fortshriek,joe
2022-10-09,08:40,sarah,european
2022-10-09,08:40,wilson,NA
2022-10-09,08:40,ava,NA
2022-10-09,08:40,aditya,prashant
2022-10-09,08:40,desi,NA
2022-10-09,08:40,cash,NA
2022-10-09,08:40,americantrooper,NA
2022-10-09,08:40,heather,sandieshoes
2022-10-09,08:40,atirbxs,atama
2022-10-09,08:40,jenny,NA
2022-10-09,08:40,airborne,NA
2022-10-09,08:40,david,daniel
2022-10-09,08:40,arthas,vitamin
2022-10-09,08:40,jls,the
2022-10-09,08:40,minister,wall
2022-10-09,08:40,srdr,NA
2022-10-09,08:40,paul,paul
2022-10-09,08:40,erico,wall
2022-10-09,08:40,hendra,NA
2022-10-09,08:40,gabriel,cameron
2022-10-09,08:40,enrique,carl
2022-10-09,08:40,suetpud,nick
2022-10-09,08:40,hendra,NA
2022-10-09,08:40,susann,joe
2022-10-09,08:40,fiercesniping,NA
2022-10-09,08:40,bendersick,dylan
2022-10-09,08:40,bendersick,dylan
2022-10-09,08:40,bigdaddydustin,daniel
2022-10-09,08:40,anthraxxx,NA
2022-10-09,08:40,divi,NA
2022-10-09,08:40,bendersick,dylan
2022-10-09,08:40,gadn,emre
2022-10-09,08:40,chris,joe
2022-10-09,08:40,juniourmrl,john
2022-10-09,08:40,neil,NA
2022-10-09,08:40,caviarcat,NA
2022-10-09,08:40,billy,sandieshoes
2022-10-09,08:40,muhammad,the
2022-10-09,08:40,inspiredgh,NA
2022-10-09,08:40,ryan,NA
2022-10-09,08:40,marian,joe
2022-10-09,08:40,sheila,joe
2022-10-09,08:40,zgr,emre
2022-10-09,08:40,hierarchfenix,NA
2022-10-09,08:40,murat,emre
2022-10-09,08:40,devils,NA
2022-10-09,08:40,arvind,NA
2022-10-09,08:40,rekha,rec
2022-10-09,08:40,mehmet,emre
2022-10-09,08:40,dio,NA
2022-10-09,08:40,masitah,bitget
2022-10-09,08:40,bee,NA
2022-10-09,08:40,michelle,NA
2022-10-09,08:40,sue,NA
2022-10-09,08:40,laila,imran
2022-10-09,08:40,kat,joe
2022-10-09,08:40,bright,NA
2022-10-09,08:40,fluxyfella,NA
2022-10-09,08:40,keith,sandieshoes
2022-10-09,08:40,grumpy,wall
2022-10-09,08:40,madge,NA
2022-10-09,08:40,baiju,joe
2022-10-09,08:40,roos,NA
2022-10-09,08:40,zarko,carl
2022-10-09,08:40,libby,sandieshoes
2022-10-09,08:40,david,dana
2022-10-09,08:40,john,NA
2022-10-09,08:40,tom,NA
2022-10-09,08:40,vuka,sunday
2022-10-09,08:40,raimotori,teritori
2022-10-09,08:40,kim,NA
2022-10-09,08:40,girish,NA
2022-10-09,08:40,prof,NA
2022-10-09,08:40,ulooses,NA
2022-10-09,08:40,blank,NA
2022-10-09,08:40,aloette,NA
2022-10-09,08:40,tam,the
2022-10-09,08:40,thecryptocabeth,NA
2022-10-09,08:40,miss,NA
2022-10-09,08:40,rgor,politicsvideochannel
2022-10-09,08:40,barry,NA
2022-10-09,08:40,ravinder,prashant
2022-10-09,08:40,zigos,NA
2022-10-09,08:40,termball,emre
2022-10-09,08:40,eleanor,steve
2022-10-09,08:40,rajat,prashant
2022-10-09,08:40,blankdoggo,phony
2022-10-09,08:40,rightwing,NA
2022-10-09,08:40,bammo,NA
2022-10-09,08:40,achilles,wall
2022-10-09,08:40,andy,NA
2022-10-09,08:40,abdul,emre
2022-10-09,08:40,kheri,NA
2022-10-09,08:40,stuart,NA
2022-10-09,08:40,hartsel,politicsvideochannel
2022-10-09,08:40,letsgobrandon,NA
2022-10-09,08:40,joni,courier
2022-10-09,08:40,curious,joe
2022-10-09,08:40,john,southbank
2022-10-09,08:40,steve,senator
2022-10-09,08:40,shafiq,mayor
2022-10-09,08:40,helyjar,NA
2022-10-09,08:40,mrinal,tansu
2022-10-09,08:40,patriotpromise,beer
2022-10-09,08:40,stevec,NA
2022-10-09,08:40,wearesatshi,natalie
2022-10-09,08:40,josephine,NA
2022-10-09,08:40,kimberly,adam
2022-10-09,08:40,slicin,stocking
2022-10-09,08:40,despairing,NA
2022-10-09,08:40,pilar,daniel
2022-10-09,08:40,one,NA
2022-10-09,08:40,helyjar,NA
2022-10-09,08:40,juri,NA
2022-10-09,08:40,ehamo,NA
2022-10-09,08:40,anthraxxx,NA
2022-10-09,08:40,the,NA
2022-10-09,08:40,kat,daily
2022-10-09,08:40,the,NA
2022-10-09,08:40,the,NA
2022-10-09,08:40,nick,unusualwhales
2022-10-09,08:40,the,NA
2022-10-09,08:40,the,NA
2022-10-09,08:40,that,donhammed
2022-10-09,08:40,the,NA
2022-10-09,08:40,mabmum,richard
2022-10-09,08:40,the,NA
2022-10-09,08:40,the,NA
2022-10-09,08:40,the,NA
2022-10-09,08:40,simeon,kibedi
2022-10-09,08:40,the,NA
2022-10-09,08:40,the,NA
2022-10-09,08:40,stablegeniusbitcoin,NA
2022-10-09,08:40,exit,NA
2022-10-09,08:40,josephine,NA
2022-10-09,08:40,applecrumblefbpefollowbackfriday,NA
2022-10-09,08:40,rob,NA
2022-10-09,08:40,homosapiens,NA
2022-10-09,08:40,liviu,wsb
2022-10-09,08:40,leclerc,NA
2022-10-09,08:40,wanderlust,politicsvideochannel
2022-10-09,08:40,baby,NA
2022-10-09,08:40,baby,NA
2022-10-09,08:40,enthusiastic,sue
2022-10-09,08:40,venividivici,proper
2022-10-09,08:40,ehamo,NA
2022-10-09,08:40,muncheez,phony
2022-10-09,08:40,broken,NA
2022-10-09,08:40,kunn,xobrang
2022-10-09,08:40,joe,NA
2022-10-09,08:40,johnson,NA
2022-10-09,08:40,john,johnhuxtable
2022-10-09,08:40,ross,NA
2022-10-09,08:40,mrinal,NA
2022-10-09,08:40,peg,lemeritus
2022-10-09,08:40,daniela,joe
2022-10-09,08:40,asapsyxgovernement,libertarian
2022-10-09,08:40,duborn,kkgb
2022-10-09,08:40,ariel,mwango
2022-10-09,08:40,andrea,NA
2022-10-09,08:40,alan,claudia
2022-10-09,08:40,corey,NA
2022-10-09,08:40,jjjmm,joe
2022-10-09,08:40,lily,clay
2022-10-09,08:40,nicholas,NA
2022-10-09,08:40,rightwing,NA
2022-10-09,08:40,marcjhay,punongbayan
2022-10-09,08:40,hek,NA
2022-10-09,08:40,ddash,wall
2022-10-09,08:40,mitikomanrbxs,mehrbanoorbxs
2022-10-09,08:40,cryptosphere,NA
2022-10-09,08:40,paul,NA
2022-10-09,08:40,carolyndare,greg
2022-10-09,08:40,peg,NA
2022-10-09,08:40,sir,NA
2022-10-09,08:40,crypto,NA
2022-10-09,08:40,jay,NA
2022-10-09,08:40,gordon,NA
2022-10-09,08:40,enrique,robert
2022-10-09,08:40,ivor,NA
2022-10-09,08:40,despairing,NA
2022-10-09,08:40,fashcheckuk,revd
2022-10-09,08:40,derek,peter
2022-10-09,08:40,dem,joe
2022-10-09,08:40,sorrybootlicker,putta
2022-10-09,08:40,brian,john
2022-10-09,08:40,paul,NA
